feature_name,importance
longitude,0.1683069224353628
latitude,0.16805671392827357
median_income,0.1450375312760634
population,0.11142618849040867
total_rooms,0.10225187656380318
housing_median_age,0.09933277731442869
total_bedrooms,0.08890742285237697
households,0.08407005838198499
INLAND,0.01267723102585488
<1H OCEAN,0.009341117597998333
NEAR OCEAN,0.008340283569641367
NEAR BAY,0.0022518765638031694
